,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
1009,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1039,452998000,453098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,12000000,12000000,12100000,12100000,22200000,22300000,10000000,10000000,100000,200000,0,0,100000,100000,12000000,12000000,12100000,12100000,10000010,10100010,10000000,10000000,10,100010
1069,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1099,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1129,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1159,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1189,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1219,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1249,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1279,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1309,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1339,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1369,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1399,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1429,453748000,453798000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,22950000,23000000,10000000,10000000,100000,150000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1459,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1489,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1519,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1549,452998000,453098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,12000000,12000000,12100000,12100000,22200000,22300000,10000000,10000000,100000,200000,0,0,100000,100000,12000000,12000000,12100000,12100000,10000010,10100010,10000000,10000000,10,100010
1579,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1609,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1639,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1669,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1699,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1729,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1759,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1789,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1819,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1849,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1879,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1909,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
1939,453748000,453798000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,22950000,23000000,10000000,10000000,100000,150000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1969,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
1999,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
2029,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
2059,440898000,3456584000,10000000,10000000,100000,200000,430798000,3446384000,0,0,0,0,0,0,10100000,10200000,10000000,10000000,100000,200000,0,0,0,0,0,0,0,0,10000010,10000000,10000000,10000000,10,0
2089,453798000,6915918000,10000000,10000000,150000,300000,430798000,6892768000,150000,150000,12700000,12700000,12850000,12850000,23000000,23150000,10000000,10000000,150000,300000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10150020,10000000,10000000,10,150020
